recclass,year,year_period_start,year_period_mid,year_period,achondrite_type
Acapulcoite,1976,1970,1977.5,1970,Acapulcoite
Diogenite-pm,1974,1970,1977.5,1970,Diogenite
Eucrite-mmict,2002,2000,2007.5,2000,Eucrite
Ureilite-an,2008,2000,2007.5,2000,Ureilite
Angrite,1869,1865,1872.5,1865,Angrite
Eucrite-mmict,1924,1910,1917.5,1910,Eucrite
Eucrite-mmict,2004,2000,2007.5,2000,Eucrite
Howardite,1905,1895,1902.5,1895,Howardite
Diogenite,1999,1985,1992.5,1985,Diogenite
Eucrite-pmict,1933,1925,1932.5,1925,Eucrite
Eucrite,2007,2000,2007.5,2000,Eucrite
Howardite,1942,1940,1947.5,1940,Howardite
Howardite,1925,1925,1932.5,1925,Howardite
Eucrite-mmict,1939,1925,1932.5,1925,Eucrite
Aubrite,1919,1910,1917.5,1910,Aubrite
Ureilite,1872,1865,1872.5,1865,Ureilite
Diogenite,1925,1925,1932.5,1925,Diogenite
Eucrite-mmict,1900,1895,1902.5,1895,Eucrite
Howardite,1911,1910,1917.5,1910,Howardite
Howardite,1868,1865,1872.5,1865,Howardite
Diogenite-pm,1950,1940,1947.5,1940,Diogenite
Eucrite-mmict,1878,1865,1872.5,1865,Eucrite
Ureilite,1971,1970,1977.5,1970,Ureilite
Diogenite,1870,1865,1872.5,1865,Diogenite
Eucrite-mmict,1957,1955,1962.5,1955,Eucrite
Ureilite,1990,1985,1992.5,1985,Ureilite
Howardite,1877,1865,1872.5,1865,Howardite
Diogenite,1924,1910,1917.5,1910,Diogenite
Howardite,1942,1940,1947.5,1940,Howardite
Aubrite,1932,1925,1932.5,1925,Aubrite
Eucrite-mmict,1906,1895,1902.5,1895,Eucrite
Ureilite,1955,1955,1962.5,1955,Ureilite
Eucrite-mmict,1910,1910,1917.5,1910,Eucrite
Lodranite,1868,1865,1872.5,1865,Lodranite
Howardite,1994,1985,1992.5,1985,Howardite
Eucrite-pmict,1936,1925,1932.5,1925,Eucrite
Eucrite-pmict,1933,1925,1932.5,1925,Eucrite
Aubrite,1974,1970,1977.5,1970,Aubrite
Eucrite-cm,1953,1940,1947.5,1940,Eucrite
Eucrite-mmict,1960,1955,1962.5,1955,Eucrite
Howardite,1953,1940,1947.5,1940,Howardite
Eucrite-cm,1913,1910,1917.5,1910,Eucrite
Eucrite-cm,1875,1865,1872.5,1865,Eucrite
Martian (nakhlite),1911,1910,1917.5,1910,Martian
Aubrite,1948,1940,1947.5,1940,Aubrite
Ureilite,1886,1880,1887.5,1880,Ureilite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite-mmict,1929,1925,1932.5,1925,Eucrite
Eucrite-pmict,1933,1925,1932.5,1925,Eucrite
Howardite,1882,1880,1887.5,1880,Howardite
Diogenite-pm,1953,1940,1947.5,1940,Diogenite
Aubrite,1946,1940,1947.5,1940,Aubrite
Eucrite-mmict,1899,1895,1902.5,1895,Eucrite
Aubrite,1933,1925,1932.5,1925,Aubrite
Eucrite-mmict,1996,1985,1992.5,1985,Eucrite
Winonaite,1931,1925,1932.5,1925,Winonaite
Eucrite-br,2007,2000,2007.5,2000,Eucrite
Diogenite,1871,1865,1872.5,1865,Diogenite
Eucrite-cm,1923,1910,1917.5,1910,Eucrite
Martian (shergottite),1865,1865,1872.5,1865,Martian
Eucrite-mmict,1933,1925,1932.5,1925,Eucrite
Eucrite-cm,1995,1985,1992.5,1985,Eucrite
Diogenite,1931,1925,1932.5,1925,Diogenite
Martian (shergottite),2011,2000,2007.5,2000,Martian
Eucrite-mmict,1949,1940,1947.5,1940,Eucrite
Eucrite-cm,1997,1985,1992.5,1985,Eucrite
Howardite,1939,1925,1932.5,1925,Howardite
Howardite,1936,1925,1932.5,1925,Howardite
Martian (shergottite),1962,1955,1962.5,1955,Martian
Ureilite,1991,1985,1992.5,1985,Ureilite
Eucrite-cm,2001,2000,2007.5,2000,Eucrite
Ureilite,2002,2000,2007.5,2000,Ureilite
Eucrite-mmict,1883,1880,1887.5,1880,Eucrite
Eucrite,2000,2000,2007.5,2000,Eucrite
Aubrite,2006,2000,2007.5,2000,Aubrite
Howardite,2009,2000,2007.5,2000,Howardite
Ureilite,1982,1970,1977.5,1970,Ureilite
Ureilite,1982,1970,1977.5,1970,Ureilite
Aubrite,1983,1970,1977.5,1970,Aubrite
